OBJECTID,municipality,scenario,period,cdd,csdi,cwd,fd,prcptot,r10mm,r20mm,r95p,r95ptot,r99p,r99ptot,rx1day,rx5day,sdii,tn10p,tn90p,tnlt2,tnn,tnx,tx10p,tx90p,txd_tnd,txge30,txgt50p,txn,txx,wsdi
1.0,Dr Beyers Naude,ssp126,far-term_2081-2100,2.7227247,-0.49053672,-0.114869796,-1.5303481624758228,-21.981274,-0.47434450487921964,0.0812394016957287,1.2191381,1.8508683,2.4284034,1.2659123,0.3075741,0.83983815,0.025695947228389256,-1.5316476,14.808953,-4.352432301740814,0.4095532,0.5098186,-0.40691528,12.587474,1.9221307,21.907951,9.675176,0.8172214,1.6497961,9.024466
1.0,Dr Beyers Naude,ssp126,mid-term_2041-2060,2.5690007,-0.48484525,0.003162029,-1.2729013539651837,-7.714369,-0.016099824028155404,0.15560110382338832,4.410319,1.6713382,2.079309,0.707123,-0.055395167,1.1099232,0.07085772488036186,-1.4791142,14.394203,-3.998868471953579,0.26062948,0.46932545,0.11710591,11.359843,1.7464392,18.437258,8.369388,0.7386272,1.4673674,7.5171304
1.0,Dr Beyers Naude,ssp126,near-term_2021-2040,1.2617136,0.17967604,0.090981066,-0.7960396518375243,-2.937762,0.09507038873780196,0.13214365701487762,3.755537,1.403513,1.8757974,0.64297086,-0.057861857,0.7930559,0.05406191420461815,-0.15702404,11.320713,-2.532113152804642,0.09325883,0.20519058,1.3652313,8.857842,1.1978222,12.661407,5.4777102,0.33007568,0.93453085,4.747534
1.0,Dr Beyers Naude,ssp245,far-term_2081-2100,3.9340465,-0.9994681,-0.12206843,-2.5611218568665377,-21.094831,-0.40421532554791223,0.06506159014557669,1.4123152,1.6878983,2.1252487,1.0537919,0.30274343,0.46497774,0.037219107448440605,-4.874232,24.757587,-7.835493230174082,1.3885336,2.061201,-3.4254236,19.017178,4.374089,37.664482,16.227043,1.7194124,2.438037,16.157156
1.0,Dr Beyers Naude,ssp245,mid-term_2041-2060,2.9331343,-0.62688583,-0.07196699,-1.9331237911025145,-14.475302,-0.24732576121153965,0.14185996907161522,3.9394758,2.0744305,4.5646033,1.6775085,0.80680823,1.5430511,0.09194054596440605,-2.6647935,16.307962,-5.8353965183752425,0.8677498,1.3255548,-1.2835462,13.452846,2.3771887,23.516806,10.79505,0.95675,1.5785458,9.461585
1.0,Dr Beyers Naude,ssp245,near-term_2021-2040,1.316288,0.222315,-0.042582724,-0.9782551155451487,-7.0968966,-0.192429611262198,0.07826067829147335,4.6643996,1.8159287,4.500264,1.4706461,0.99483204,0.45258787,0.07428724479562991,0.19840582,9.495142,-2.9925964572941055,0.36788148,0.65415555,1.096082,8.550813,1.1003722,11.269878,5.4581227,0.52274966,0.7441812,4.665288
1.0,Dr Beyers Naude,ssp370,far-term_2081-2100,7.779527,-1.281571,-0.28093368,-3.4153127014829145,-38.891212,-1.038529835226364,0.020228763397856363,0.68890274,2.571764,3.8681982,1.9853071,0.511915,-1.135272,0.029104720253064806,-7.417282,39.742165,-10.429754996776271,2.1172757,2.7898238,-5.2805953,27.609669,9.129306,58.0567,22.157068,2.4474552,3.8298113,32.878757
1.0,Dr Beyers Naude,ssp370,mid-term_2041-2060,3.0776796,-0.73706746,-0.09353157,-2.2351708575112834,-12.103578,-0.2243641017437212,0.14374500079987199,4.7989373,2.1929152,3.4410565,1.1911011,0.31950873,0.7903517,0.07054629931899993,-3.2102594,19.722553,-6.4344240275091344,0.7921959,0.98380405,-0.95873797,14.40636,2.8086202,24.26226,10.989698,1.0437753,1.7902701,10.483841
1.0,Dr Beyers Naude,ssp370,near-term_2021-2040,2.043301,-0.16230386,0.03815933,-1.3125349237051365,-3.9513416,0.12518796992481174,0.204159334506479,6.647783,2.2064986,3.6625679,1.111624,0.36685586,2.192486,0.11276162453488137,-0.4791135,11.544093,-3.5617880937029893,0.26714057,0.2911784,1.5500275,8.616362,1.1775326,11.140629,5.093009,0.3852724,0.94505626,4.545129
1.0,Dr Beyers Naude,ssp585,far-term_2081-2100,8.584045,-1.2954062,-0.20869462,-3.7419729206963246,-44.597286,-1.102746227270303,0.016530688423185724,-1.4906532,2.6081598,2.9208722,2.0275435,-0.17732908,-1.3669789,0.020776079391264725,-8.290958,46.70651,-11.488442940038686,2.893165,3.9232001,-6.9150968,33.83345,12.891067,75.69442,27.66569,3.250912,4.4578195,48.683773
1.0,Dr Beyers Naude,ssp585,mid-term_2041-2060,3.4514725,-0.8951644,-0.07110592,-2.343046930672911,-16.790966,-0.3112568655681756,0.1552844878152829,3.4012792,1.9986117,4.24473,1.5517778,0.754792,1.8618699,0.07220138257221562,-3.829168,20.608017,-6.982009060368522,1.1114857,1.7427287,-2.181079,16.204567,3.3901303,30.390589,13.208736,1.271497,2.1432714,13.077086
1.0,Dr Beyers Naude,ssp585,near-term_2021-2040,1.91971,-0.1525043,0.06861039,-1.2403873562048253,-1.5369035,0.18073908174692047,0.2398842851810378,7.8501325,2.5190825,5.245842,1.5959256,1.4066471,2.7555919,0.1286467083466845,-0.44608527,10.924631,-3.7203807390817474,0.5133948,0.8025045,0.6601887,9.528144,1.4021302,13.683923,6.6994,0.6427342,0.97158617,5.37045
